"Dates","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New.Hampshire","New.Jersey","New.Mexico","New.York","North.Carolina","North.Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode.Island","South.Carolina","South.Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West.Virginia","Wisconsin","Wyoming","Florida","Dates"
"2011-03-06",288.0119,291.90372,285.40735,286.66937,288.6746,274.0537,278.86282,288.06595,282.4705,277.54718,277.94553,272.37762,280.99948,282.72577,288.98975,268.30557,278.99567,273.32077,269.23013,264.5128,287.5397,280.02383,273.12357,277.07425,286.2978,270.58972,277.2176,292.7582,272.67133,284.46307,262.01596,277.7305,285.6808,281.94702,276.36978,274.22382,286.56564,267.8586,284.82852,290.79974,287.20157,270.29596,281.80576,278.62195,281.2414,269.21988,283.47318,291.98306,2011-03-06
"2011-03-13",284.4677,294.75192,283.98853,288.21683,288.2886,277.07062,279.70587,284.99774,283.1874,277.40598,277.81018,274.5117,282.36533,280.99878,287.4584,271.68347,279.6344,276.26385,272.1228,269.43695,284.86154,279.93463,277.94934,278.1755,289.00992,273.78,278.6212,294.67746,274.531,283.16788,266.80832,277.58658,286.08136,282.8905,276.98416,276.89822,284.66837,271.9817,282.61465,292.00964,288.98856,272.95422,281.1805,280.60513,279.91037,272.9264,283.61588,288.76553,2011-03-13
"2011-03-20",290.32657,297.4177,287.7033,287.21967,293.0667,278.19968,281.50937,290.96387,284.16522,282.03064,281.7488,281.99002,287.4648,284.75177,290.54282,273.50424,282.0045,277.35855,276.38187,276.46185,289.56973,284.25653,283.81235,286.6822,289.16943,276.17548,280.2201,298.51953,277.09018,286.84943,278.1078,281.32294,289.5097,282.21683,280.09366,277.72067,289.25513,283.72446,287.51752,294.4974,291.00125,275.5679,284.09778,280.9317,283.21628,277.99048,287.49008,292.86563,2011-03-20
"2011-03-27",291.5504,290.8059,288.34103,283.63898,290.0219,273.96796,277.9675,292.03104,283.9008,280.69125,280.49042,277.47507,286.08047,285.04703,293.6642,270.9481,279.11935,273.42343,269.67346,270.7558,291.49124,283.68106,279.379,281.9887,285.1586,271.52838,275.53818,295.63785,271.88666,287.07257,270.6332,278.62442,290.04974,281.79266,275.8173,274.11237,290.1459,276.2837,286.7462,296.3439,287.4102,270.6729,283.32474,281.6329,282.6525,270.57614,285.94897,294.24567,2011-03-27
"2011-04-03",287.9354,299.12225,285.06903,292.3933,292.40268,276.56607,277.9066,286.83737,285.9652,280.10522,278.81415,280.044,285.98697,280.7113,290.55862,274.45276,278.0467,276.26685,274.7629,276.4186,287.7949,282.30298,283.2567,284.39273,292.44992,274.96536,277.05344,299.08456,275.41827,282.15533,275.8519,276.43192,287.6212,284.59348,276.21637,276.5078,284.04596,280.69662,283.4895,294.24707,292.3701,274.83563,279.74313,282.3884,278.47534,276.26923,287.92972,293.83005,2011-04-03
"2011-04-10",292.5018,292.5952,293.22604,287.15588,292.0825,280.0011,282.993,292.8874,283.39545,288.34796,287.58426,286.84793,292.66678,291.2507,293.57953,276.5887,283.8335,279.7424,280.29166,282.2216,292.79984,291.2403,282.64236,288.43436,287.06952,279.00034,281.65536,296.88495,280.22906,289.73813,280.42517,285.83786,295.52023,281.97052,282.1083,279.31876,291.71017,285.3582,292.21564,298.1174,288.01727,279.2073,287.2021,280.73944,288.9173,282.42697,287.3557,294.79282,2011-04-10
"2011-04-17",292.11368,296.2199,291.57574,289.46866,292.2967,282.53128,286.45956,293.2015,286.1236,286.419,286.3835,284.02206,290.3903,288.67154,294.0812,277.39447,287.0847,281.76987,280.13202,279.20123,292.15494,288.96002,284.27567,286.24088,291.30176,280.2644,284.72754,297.15698,281.90814,290.77646,278.67984,286.41547,292.63388,283.8222,285.07397,281.83368,292.16537,282.21774,290.0948,296.53076,291.54425,280.1126,289.37802,280.89432,288.67667,280.42368,288.44897,295.81012,2011-04-17
"2011-04-24",295.0388,299.33646,293.6691,290.07166,292.8401,281.7875,288.15924,295.56265,284.20905,284.43356,285.66928,280.6408,288.5999,291.61688,296.9727,277.34982,288.5506,281.02945,277.1519,278.56158,295.2372,287.67783,282.35904,283.82846,291.72867,279.26425,285.16248,301.2053,279.90244,292.58038,278.36014,285.79947,293.77036,283.2094,284.30124,281.5618,293.66104,280.88193,293.3847,300.40262,292.22214,278.9032,291.20932,281.54572,290.4094,277.9543,286.3229,296.50116,2011-04-24
"2011-05-01",294.86908,296.24362,291.82156,289.4753,289.80475,288.05914,292.03198,295.8156,284.32858,287.58987,288.59604,285.2432,289.3642,292.142,295.73065,283.361,291.97067,287.33102,283.6837,283.14474,294.5747,289.09177,285.61368,287.46432,288.70596,286.2656,290.84808,296.8508,287.88766,294.00885,285.09625,289.41953,290.9499,282.73965,290.39908,287.16922,295.1295,285.76804,293.55914,298.0017,288.6558,286.97968,293.13138,281.84848,292.51492,282.5142,286.88504,297.12238,2011-05-01
"2011-05-08",291.88724,301.17343,289.7202,295.66385,295.51196,285.55182,288.77002,293.13217,289.10193,285.7757,285.36447,286.6921,293.80655,287.59952,292.76364,282.65512,288.7667,285.40396,282.56274,284.56104,291.4641,288.51163,288.8024,291.62198,296.80634,284.90536,287.47757,298.9222,284.58023,290.42697,286.7541,285.5072,293.1733,287.2588,286.55722,285.29147,292.0635,289.0323,289.40308,295.4366,296.43106,284.68533,289.44727,284.3261,288.0172,283.2175,292.32162,295.83588,2011-05-08
"2011-05-15",296.7248,298.58527,294.83356,291.26056,294.69418,286.73566,289.0414,298.0415,292.63333,293.95782,294.08942,292.5162,294.71542,295.32648,296.54834,283.02948,290.06625,285.21426,287.86063,286.83945,296.02365,294.01923,288.49222,291.54572,295.1542,285.79565,288.23227,299.87735,288.54276,294.04254,284.4429,293.56412,295.3287,288.44733,290.76773,284.91055,296.30353,287.97043,296.00497,298.9938,295.20554,286.93613,292.38483,287.409,294.09195,288.39355,290.65802,297.88437,2011-05-15
"2011-05-22",293.5154,296.6833,293.1384,289.8676,294.7416,286.88132,291.0489,294.07425,290.61887,290.1148,289.51788,290.7955,294.14578,290.21274,295.67767,283.30795,291.77316,285.1648,287.82352,290.07205,293.5722,291.32242,290.43823,291.48395,292.00238,284.92554,289.25772,299.54474,288.35745,293.08423,290.7163,288.91367,295.7094,287.41367,290.04004,285.6762,293.61737,290.65497,291.50522,300.07474,293.1605,287.23212,291.9857,287.53094,290.23752,288.70383,291.4133,296.293,2011-05-22
"2011-05-29",298.6439,302.48633,297.03915,290.76282,297.70013,292.08295,296.41016,299.63528,288.79736,292.07474,292.74606,291.21622,295.821,295.4544,299.39236,287.4864,296.48486,291.53375,286.77704,287.51553,298.61746,293.87228,288.98688,293.08722,293.87006,291.8338,294.7653,304.56577,293.0035,298.1568,287.05557,294.34427,298.8303,285.50482,295.20093,290.92767,298.90976,290.4581,297.2954,303.8515,296.32315,292.1485,297.29547,285.63583,296.73492,287.33966,292.89932,299.03033,2011-05-29
"2011-06-05",302.7604,302.7879,302.57935,290.78638,301.01498,292.1409,296.72067,301.49564,292.17575,299.50613,299.01395,298.37354,303.23642,300.52148,302.34113,289.41653,297.50034,291.41025,293.38217,293.06186,302.6,301.10422,291.1904,299.54446,294.9788,291.6027,295.0583,305.57138,292.95395,300.38742,290.9251,297.92062,303.19952,288.85492,296.1506,291.01773,300.5649,295.27023,302.1152,303.98495,298.00848,291.76694,299.41312,288.97794,298.99527,294.729,296.15085,299.19366,2011-06-05
"2011-06-12",301.91287,304.78125,302.16208,294.61453,301.33304,294.06982,298.00754,301.1406,293.9371,298.59897,298.70486,296.46442,302.09564,300.96024,301.2505,290.90164,298.85568,292.84662,292.22577,292.19388,301.58072,300.71564,292.44244,298.3691,298.9602,293.243,296.74612,307.25266,294.71686,299.79388,291.13516,298.48322,303.8895,290.61362,297.66098,292.75366,300.12186,295.23053,301.98746,305.28738,301.20978,293.38577,299.95874,289.88998,299.85727,292.94986,297.76645,299.71436,2011-06-12
"2011-06-19",301.30472,307.3078,303.08524,298.98364,301.7258,291.74814,295.1566,300.72137,293.91083,295.8702,295.2698,295.7709,302.48044,296.6005,302.59116,289.80154,295.0208,290.8586,292.4064,292.9817,302.15912,298.87067,293.3332,298.85648,302.12094,291.50366,294.13397,308.6956,292.12656,298.30276,294.55545,294.12408,306.09268,291.14777,293.43478,290.69113,300.01303,296.77094,298.58795,307.17447,302.07455,291.79715,296.1702,288.65793,294.77777,292.69562,298.25665,300.91324,2011-06-19
"2011-06-26",300.16925,309.37082,301.8907,302.15485,301.87436,292.80524,297.22226,301.1408,298.8084,296.2674,295.94916,294.4527,302.44504,297.8252,299.9424,289.64642,297.10086,291.45587,292.8301,292.10223,300.1395,299.02557,296.72897,297.99844,305.6142,291.06525,295.80206,308.7083,293.84152,300.2217,293.8824,295.6453,305.0499,295.07513,295.8526,291.69766,301.58902,295.5521,299.25488,305.2117,304.65683,291.808,298.28677,291.1651,296.756,293.07953,300.32718,300.51883,2011-06-26
"2011-07-03",301.0132,311.13803,303.08505,300.66055,303.8003,294.70483,297.47183,300.42188,301.6442,299.1082,298.185,299.10007,305.35135,299.1154,302.37698,292.74005,297.77078,294.34717,294.8205,296.85275,301.71457,301.24414,299.99045,301.7668,306.39117,294.34006,296.3522,309.05743,294.5919,300.1578,297.67993,297.74716,306.07828,296.36093,296.31674,294.37802,300.64893,299.82446,300.23166,305.55255,307.1419,294.13916,299.12555,293.52124,297.84128,297.0256,302.99374,299.0236,2011-07-03
"2011-07-10",301.25497,308.08316,303.04404,303.62344,303.74344,297.23273,298.9164,301.186,303.3177,299.7831,299.73233,299.83612,304.97232,299.77344,302.1525,294.77472,299.04965,296.69678,297.15622,298.78705,301.63364,300.57632,301.74323,302.84317,307.73755,296.39328,298.50073,308.977,296.5345,299.5413,298.96478,299.53787,307.23364,298.56207,298.72165,296.7265,300.1955,301.6187,300.60263,306.34137,306.32065,295.94614,299.44742,294.3289,299.3071,298.71207,303.81573,299.86246,2011-07-10
"2011-07-17",300.07892,307.42807,303.40665,297.77945,303.90427,297.60025,298.12082,300.21378,302.6021,300.22098,300.0254,299.57846,307.18192,300.48053,301.65268,295.84073,298.3107,296.8466,296.63327,296.71295,301.1426,302.80563,301.49173,303.63934,305.5749,297.48526,298.28494,307.7456,297.4519,299.6002,298.0464,298.9893,307.16153,295.71625,298.6445,296.61005,300.11777,301.40494,301.22928,306.2236,306.1114,296.80453,298.98465,293.21573,298.82733,296.81442,304.253,299.8187,2011-07-17
